State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bellary,Sirguppa,"Dry Chillies",Byadgi,FAQ,16/01/2025,6000,6000,6000,132
Karnataka,Bellary,Bellary,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,06/02/2025,1460,6861,5918,49
Karnataka,Bellary,Bellary,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,24/02/2025,4525,7301,6185,49
Karnataka,Bellary,Kottur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,20/02/2025,3269,5369,4319,49
Karnataka,Bellary,Kottur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,28/02/2025,4949,4949,4949,49
Karnataka,Bellary,Kottur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)","Ref grade-1",03/02/2025,4511,5509,5279,49
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,12/02/2025,7229,7329,7321,92
Karnataka,Bellary,Bellary,Maize,Local,FAQ,21/02/2025,1801,2436,2324,4
Karnataka,Bellary,Bellary,Maize,Local,FAQ,27/02/2025,2172,2409,2305,4
Karnataka,Bellary,"H.B. Halli",Maize,Yellow,"Ref grade-1",01/02/2025,2200,2300,2290,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,08/02/2025,2288,2345,2316,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,18/02/2025,2321,2409,2390,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,19/02/2025,2168,2444,2326,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,20/02/2025,2221,2375,2368,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,25/02/2025,2265,2358,2300,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,27/02/2025,2421,2522,2510,4
Karnataka,Bellary,Bellary,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,17/02/2025,1779,2911,2511,28
Karnataka,Bellary,Bellary,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,18/02/2025,2061,3100,2775,28
Karnataka,Bellary,Bellary,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,21/02/2025,2362,3030,2758,28
Karnataka,Bellary,Bellary,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,24/02/2025,2419,2811,2660,28
Karnataka,Bellary,Kottur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,06/02/2025,2532,2532,2532,28
Karnataka,Bellary,Kottur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,10/02/2025,2055,2444,2149,28
Karnataka,Bellary,Kottur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,20/02/2025,2200,2200,2200,28
Karnataka,Bellary,Kottur,"Bajra(Pearl Millet/Cumbu)",Hybrid,"Ref grade-1",05/02/2025,2156,2156,2156,28
Karnataka,Bellary,Bellary,Groundnut,"Big (With Shell)","Ref grade-1",05/02/2025,3009,6519,5423,10
Karnataka,Bellary,Bellary,Groundnut,Hybrid,FAQ,24/02/2025,4269,7309,6428,10
Karnataka,Bellary,Kottur,Groundnut,Natte,"Ref grade-1",04/02/2025,2509,5670,4897,10
Karnataka,Bellary,Bellary,Jowar(Sorghum),Local,"Ref grade-1",03/02/2025,1466,3109,2291,5
Karnataka,Bellary,Kottur,Jowar(Sorghum),"Jowar Hybrid",FAQ,12/02/2025,2182,2186,2185,5
Karnataka,Bellary,Kottur,Jowar(Sorghum),"Jowar Hybrid",FAQ,18/02/2025,2089,2169,2150,5
Karnataka,Bellary,Kottur,Jowar(Sorghum),"Jowar Hybrid",FAQ,20/02/2025,2258,2258,2258,5
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,10/02/2025,2955,3611,3134,30
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,12/02/2025,3150,3591,3230,30
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,19/02/2025,3036,3551,3240,30
Karnataka,Bellary,Bellary,Sunflower,Sunflower,"Ref grade-1",01/02/2025,4000,6340,5211,14
Karnataka,Bellary,Kottur,Sunflower,Hybrid,FAQ,11/02/2025,5529,9140,7409,14
Karnataka,Bellary,Kottur,Sunflower,Hybrid,FAQ,14/02/2025,4800,9250,7242,14
Karnataka,Bellary,Kottur,"Castor Seed","Castor seed",FAQ,10/02/2025,5861,5861,5861,123
Karnataka,Bellary,Kottur,"Castor Seed","Castor seed",FAQ,27/02/2025,5951,5951,5951,123
Karnataka,Bellary,Kottur,"Castor Seed","Castor seed","Ref grade-1",03/02/2025,5683,5683,5683,123
Karnataka,Bellary,Kottur,"Castor Seed","Castor seed",FAQ,12/02/2025,5852,5852,5852,123
Karnataka,Bellary,Bellary,"Alasande Gram","Alasande Gram",FAQ,17/02/2025,5870,7650,7180,281
Karnataka,Bellary,Bellary,"Alasande Gram","Alasande Gram","Ref grade-1",05/02/2025,6561,7280,7166,281
Karnataka,Bellary,Bellary,"Green Gram (Moong)(Whole)","Local (Whole)",FAQ,21/02/2025,7110,7110,7110,9
Karnataka,Bellary,Bellary,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)","Ref grade-1",01/02/2025,6919,7151,7133,8
Karnataka,Bellary,Bellary,Safflower,Safflower,FAQ,27/02/2025,5409,5409,5409,59
Karnataka,Bellary,Kottur,Cotton,GCH,FAQ,17/02/2025,1500,6189,5465,15
Karnataka,Bellary,Bellary,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,17/02/2025,3737,6889,5784,6
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,06/02/2025,5211,5931,5391,6
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,10/02/2025,3066,6122,6030,6
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,12/02/2025,5220,6101,5364,6
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,19/02/2025,5668,5855,5831,6
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,28/02/2025,5350,5680,5586,6
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",01/02/2025,5651,5701,5661,6
Karnataka,Bellary,Kottur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,15/01/2025,3033,6111,5575,49
Karnataka,Bellary,Kottur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,27/01/2025,4011,5999,5515,49
Karnataka,Bellary,Bellary,"Alasande Gram","Alasande Gram",FAQ,04/01/2025,6500,7600,7050,281
Karnataka,Bellary,Bellary,"Alasande Gram","Alasande Gram",FAQ,16/01/2025,6210,7621,7136,281
Karnataka,Bellary,Bellary,"Alasande Gram","Alasande Gram",FAQ,28/01/2025,7627,76274,7627,281
Karnataka,Bellary,Bellary,"Alasande Gram","Alasande Gram","Ref grade-1",30/01/2025,6859,6859,6859,281
Karnataka,Bellary,Bellary,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,18/01/2025,4526,7289,6395,49
Karnataka,Bellary,Kottur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,04/01/2025,6256,6401,6363,49
Karnataka,Bellary,Kottur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,13/01/2025,5409,6262,5957,49
Karnataka,Bellary,Bellary,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,03/01/2025,1509,7640,6680,49
Karnataka,Bellary,Kottur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,03/01/2025,5828,6251,6145,49
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,03/01/2025,4569,7889,7456,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,08/01/2025,7029,7429,7305,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,09/01/2025,5229,7436,7002,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)","Ref grade-1",30/01/2025,7119,7651,7528,92
Karnataka,Bellary,Bellary,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,04/01/2025,5809,6609,6209,8
