State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,27/03/2025,600,600,600,159
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,28/03/2025,800,800,800,78
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,25/03/2025,700,700,700,78
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Chali,FAQ,10/03/2025,20000,20000,20000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,13/03/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,15/03/2025,10000,10100,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,16/03/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,17/03/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Coconut,Grade-I,FAQ,28/03/2025,32000,32000,32000,138
Karnataka,Mandya,Nagamangala,"Ragi (Finger Millet)",Local,FAQ,01/03/2025,3000,3000,3000,30
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,09/03/2025,500,500,500,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,17/03/2025,300,400,400,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,21/03/2025,400,400,400,173
Karnataka,Mandya,Maddur,Rice,Other,FAQ,17/04/2025,3500,3500,3500,3
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,25/04/2025,0,0,2000,2
Karnataka,Mandya,"K.R. Pet",Copra,Copra,FAQ,22/04/2025,18500,18500,18500,129
Karnataka,Mandya,"K.R. Pet",Copra,other,FAQ,29/04/2025,12000,12000,12000,129
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,08/04/2025,900,1000,900,159
