State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,25/01/2025,4539,6266,5355,10
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,11/01/2025,5300,7675,6352,9
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,04/01/2025,7669,8810,8554,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,23/01/2025,6339,8051,7518,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,04/01/2025,7099,8909,7718,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,23/01/2025,6411,8091,7176,49
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,06/02/2025,4939,5915,5339,10
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,24/02/2025,7139,8119,7369,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,28/02/2025,7009,7899,7686,9
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,07/02/2025,6069,7211,6504,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,10/02/2025,6569,7520,6845,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,21/02/2025,6269,7336,6736,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,06/02/2025,6859,7579,7010,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,"Ref grade-1",01/02/2025,6689,7729,7057,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,"Ref grade-1",04/02/2025,6169,7509,6648,49
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,07/02/2025,6099,6101,6099,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,10/02/2025,6050,6319,6190,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,21/02/2025,5699,5849,5807,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,28/02/2025,5951,5951,5951,6
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,10/02/2025,4989,6209,5407,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,12/02/2025,5059,6351,5522,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,13/02/2025,4979,6369,5613,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,14/02/2025,4690,6389,5669,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)","Ref grade-1",01/02/2025,4689,5809,5110,10
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,04/01/2025,7669,7669,7669,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,06/01/2025,6869,6869,6869,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,08/01/2025,7011,7189,7026,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,09/01/2025,5811,7501,6388,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,21/01/2025,7599,7599,7599,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,25/01/2025,6009,7600,7593,9
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,13/02/2025,6209,7159,6753,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,17/02/2025,6269,7289,6534,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)","Ref grade-1",03/02/2025,6469,7564,6773,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,12/02/2025,6211,7689,6910,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,13/02/2025,6311,7629,7064,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,21/02/2025,6569,7719,7084,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,28/02/2025,6069,7762,7116,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,01/03/2025,5989,7501,6309,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,06/01/2025,6011,8362,7592,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,10/01/2025,6311,8319,7669,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,28/01/2025,6469,7899,6714,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,06/01/2025,7089,8681,8260,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,01/01/2025,7266,8680,7949,49
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,24/01/2025,5799,5899,5830,6
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,21/01/2025,6689,8159,7119,49
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,10/01/2025,4829,6319,5872,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,11/01/2025,5319,6369,5692,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,22/01/2025,4869,6159,5547,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,23/01/2025,5309,6119,5996,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,27/01/2025,4869,6122,5270,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)","Ref grade-1",30/01/2025,4869,5709,5263,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)","Ref grade-1",31/01/2025,4569,5719,5244,10
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,22/01/2025,5799,5799,5799,6
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,04/01/2025,5049,6269,5640,10
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,27/01/2025,5700,5700,5700,6
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,07/01/2025,6839,7000,6997,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,23/01/2025,6201,6901,6721,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,28/01/2025,8002,8002,8002,9
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,01/01/2025,7569,8810,8510,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,02/01/2025,7351,9021,8683,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,13/01/2025,6869,8301,7438,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,27/01/2025,6569,7801,7304,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,11/01/2025,7011,8356,7531,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,13/01/2025,6569,8051,7242,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,24/01/2025,7011,8062,7113,49
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,15/02/2025,5919,6879,6181,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,13/02/2025,5799,6149,6079,6
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,07/02/2025,4869,6079,5382,10
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,06/02/2025,6201,7013,6680,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)","Ref grade-1",01/02/2025,5989,7501,6284,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)","Ref grade-1",04/02/2025,6075,6859,6209,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,07/02/2025,6569,7611,6945,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,17/02/2025,6869,7787,7225,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,22/02/2025,6509,7659,7045,49
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,01/03/2025,7099,7969,7654,9
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,01/03/2025,5701,5989,5926,6
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,01/03/2025,5269,6582,5689,10
